# 道の駅 全国一覧 — 本アプリ用キュレーションデータ
# 出典: 国土数値情報「道の駅」P35-18(2018年度版) 国土交通省
#       https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P35.html
# 駅名・所在地・座標は事実データ(著作権対象外)。施設フラグ等の付帯属性は非収載(SPEC §E7)。
id,name,lat,lng,pref
michi_0227,おおがた,40.015349,139.951518,秋田県
michi_0228,雁の里せんなん,39.378995,140.567568,秋田県
michi_0229,うご,39.200532,140.412438,秋田県
michi_0230,田沢,37.877658,139.984182,山形県
michi_0231,米沢,37.922055,140.137017,山形県
michi_0232,月山,38.586994,139.874501,山形県
michi_0233,あつみ,38.580422,139.558109,山形県
michi_0234,寒河江,38.399013,140.269891,山形県
michi_0235,むらやま,38.487146,140.382310,山形県
michi_0236,川のみなと長井,38.108211,140.043516,山形県
michi_0237,天童温泉,38.354481,140.387127,山形県
michi_0238,尾花沢,38.656902,140.363688,山形県
michi_0239,河北,38.413040,140.328447,山形県
michi_0240,にしかわ,38.436059,140.099237,山形県
michi_0241,あさひまち,38.327388,140.169257,山形県
michi_0242,おおえ,38.367756,140.213291,山形県
michi_0243,とざわ,38.728688,140.161431,山形県
michi_0244,たかはた,38.006775,140.217442,山形県
michi_0245,白い森おぐに,38.071956,139.730609,山形県
michi_0246,白鷹ヤナ公園,38.218111,140.097322,山形県
michi_0247,いいで,38.026065,139.994671,山形県
michi_0248,庄内みかわ,38.782805,139.846330,山形県
michi_0249,しょうない,38.794158,139.984412,山形県
michi_0250,鳥海,39.060163,139.875583,山形県
michi_0251,つちゆ,37.655120,140.334294,福島県
michi_0252,よつくら港,37.107429,140.992995,福島県
michi_0253,喜多の郷,37.701938,139.878264,福島県
michi_0254,そうま,37.761109,140.947952,福島県
michi_0255,安達,37.635666,140.483688,福島県
michi_0256,ふくしま東和,37.569956,140.577349,福島県
michi_0257,さくらの郷,37.534780,140.590248,福島県
michi_0258,南相馬,37.635707,140.983582,福島県
michi_0259,伊達の郷 りょうぜん,37.766524,140.588450,福島県
michi_0260,国見 あつかしの郷,37.872681,140.545612,福島県
michi_0261,川俣,37.667818,140.576693,福島県
michi_0262,羽鳥湖高原,37.239976,140.063392,福島県
michi_0263,季の里天栄,37.243660,140.244786,福島県
michi_0264,しもごう,37.203539,139.916343,福島県
michi_0265,尾瀬檜枝岐,37.032756,139.395721,福島県
michi_0266,たじま,37.086550,139.727599,福島県
michi_0267,番屋,37.068822,139.615486,福島県
michi_0268,きらら289,37.221982,139.542660,福島県
michi_0269,裏磐梯,37.665058,140.043753,福島県
michi_0270,にしあいづ,37.585867,139.642595,福島県
michi_0271,ばんだい,37.562804,139.986633,福島県
michi_0272,猪苗代,37.538341,140.107459,福島県
michi_0273,あいづ 湯川・会津坂下,37.556999,139.863136,福島県
michi_0274,会津柳津,37.527693,139.722175,福島県
michi_0275,尾瀬街道みしま宿,37.477758,139.670802,福島県
michi_0276,奥会津かねやま,37.471924,139.530583,福島県
michi_0277,からむし織の里しょうわ,37.325463,139.630139,福島県
michi_0278,はなわ,36.950619,140.414520,福島県
michi_0279,たまかわ,37.222832,140.418137,福島県
michi_0280,ひらた,37.250545,140.560032,福島県
michi_0281,ふるどの,37.093130,140.529774,福島県
michi_0282,ならは,37.250006,140.997626,福島県
michi_0283,いいたて村の道の駅までい館,37.697267,140.735624,福島県
michi_0284,日立おさかなセンター,36.492354,140.615194,茨城県
michi_0285,まくらがの里 こが,36.191431,139.789732,茨城県
michi_0286,しもつま,36.215841,139.986596,茨城県
michi_0287,さとみ,36.705746,140.509682,茨城県
michi_0288,ひたちおおた,36.510388,140.525476,茨城県
michi_0289,いたこ,35.946132,140.589245,茨城県
michi_0290,みわ,36.655857,140.280004,茨城県
michi_0291,常陸大宮,36.596961,140.409616,茨城県
michi_0292,たまつくり,36.096394,140.403763,茨城県
michi_0293,かつら,36.544969,140.333059,茨城県
michi_0294,奥久慈だいご,36.768585,140.359235,茨城県
michi_0295,ごか,36.095277,139.758332,茨城県
michi_0296,さかい,36.102676,139.795303,茨城県
michi_0297,うつのみや ろまんちっく村,36.633391,139.831313,栃木県
michi_0298,みかも,36.296714,139.625248,栃木県
michi_0299,にしかた,36.466687,139.743180,栃木県
michi_0300,どまんなか たぬま,36.343804,139.572073,栃木県
michi_0301,湯西川,36.930014,139.686957,栃木県
michi_0302,日光,36.724531,139.687888,栃木県
michi_0303,思川,36.308182,139.760746,栃木県
michi_0304,にのみや,36.367336,139.964996,栃木県
michi_0305,那須与一の郷,36.863018,140.087378,栃木県
michi_0306,やいた,36.805614,139.921615,栃木県
michi_0307,湯の香しおばら,36.955797,139.899330,栃木県
michi_0308,明治の森・黒磯,37.000375,139.984479,栃木県
michi_0309,那須野が原博物館,36.899706,139.969139,栃木県
michi_0310,きつれがわ,36.715499,140.032636,栃木県
michi_0311,しもつけ,36.397222,139.883764,栃木県
michi_0312,ましこ,36.431168,140.071976,栃木県
michi_0313,もてぎ,36.527826,140.172858,栃木県
michi_0314,サシバの里いちかい,36.543766,140.101180,栃木県
michi_0315,はが,36.552381,140.058196,栃木県
michi_0316,みぶ,36.455269,139.806959,栃木県
michi_0317,湧水の郷しおや,36.764657,139.781407,栃木県
michi_0318,那須高原友愛の森,37.041532,140.013704,栃木県
michi_0319,東山道伊王野,36.954049,140.157412,栃木県
michi_0320,ばとう,36.747602,140.149871,栃木県
michi_0321,ぐりーんふらわー牧場・大胡,36.459060,139.136429,群馬県
michi_0322,赤城の恵,36.423695,139.128456,群馬県
michi_0323,ふじみ,36.469383,139.094239,群馬県
michi_0324,くらぶち小栗の里,36.424511,138.793140,群馬県
michi_0325,くろほね・やまびこ,36.491184,139.271991,群馬県
michi_0326,おおた,36.264641,139.296421,群馬県
michi_0327,白沢,36.661698,139.120031,群馬県
michi_0328,おのこ,36.548114,138.952806,群馬県
michi_0329,こもち,36.515140,139.016363,群馬県
michi_0330,上州おにし,36.143093,139.040349,群馬県
michi_0331,ららん藤岡,36.272136,139.071644,群馬県
michi_0332,みょうぎ,36.299644,138.765967,群馬県
michi_0333,富弘美術館,36.552559,139.372849,群馬県
michi_0334,よしおか温泉,36.441341,139.035164,群馬県
michi_0335,上野,36.080532,138.784106,群馬県
michi_0336,万葉の里,36.109242,138.897830,群馬県
michi_0337,しもにた,36.224036,138.802018,群馬県
michi_0338,オアシスなんもく,36.178273,138.741708,群馬県
michi_0339,甘楽,36.233749,138.916653,群馬県
michi_0340,六合,36.607483,138.638618,群馬県
michi_0341,霊山たけやま,36.608929,138.829756,群馬県
michi_0342,八ッ場ふるさと館,36.547513,138.684273,群馬県
michi_0343,草津運動茶屋公園,36.614528,138.590048,群馬県
michi_0344,中山盆地,36.622498,138.954257,群馬県
michi_0345,あがつま峡,36.570480,138.735690,群馬県
michi_0346,尾瀬かたしな,36.773231,139.225238,群馬県
michi_0347,川場田園プラザ,36.687042,139.107301,群馬県
michi_0348,あぐりーむ昭和,36.612775,139.068935,群馬県
michi_0349,みなかみ水紀行館,36.764515,138.967670,群馬県
michi_0350,月夜野矢瀬親水公園,36.697600,138.981257,群馬県
michi_0351,たくみの里,36.696080,138.908350,群馬県
michi_0352,玉村宿,36.308334,139.094585,群馬県
michi_0353,めぬま,36.214557,139.369326,埼玉県
michi_0354,川口・あんぎょう,35.848019,139.765769,埼玉県
michi_0355,あらかわ,35.954414,139.012634,埼玉県
michi_0356,大滝温泉,35.950380,138.938199,埼玉県
michi_0357,龍勢会館,36.049009,139.040109,埼玉県
michi_0358,ちちぶ,35.997441,139.089397,埼玉県
michi_0359,童謡のふる里おおとね,36.170307,139.645159,埼玉県
michi_0360,きたかわべ,36.211089,139.662783,埼玉県
michi_0361,庄和,35.996791,139.794780,埼玉県
michi_0362,はにゅう,36.188737,139.510770,埼玉県
michi_0363,おかべ,36.218524,139.241280,埼玉県
michi_0364,はなぞの,36.121891,139.227294,埼玉県
michi_0365,かわもと,36.151510,139.289029,埼玉県
michi_0366,おがわまち,36.052384,139.281169,埼玉県
michi_0367,いちごの里 よしみ,36.036356,139.457688,埼玉県
michi_0368,果樹公園あしがくぼ,35.976907,139.135557,埼玉県
michi_0369,みなの,36.076959,139.109650,埼玉県
michi_0370,両神温泉薬師の湯,36.004772,138.970964,埼玉県
michi_0371,和紙の里ひがしちちぶ,36.052482,139.203506,埼玉県
michi_0372,アグリパークゆめすぎと,36.024632,139.769260,埼玉県
michi_0373,いちかわ,35.748842,139.919413,千葉県
michi_0374,南房パラダイス,34.939878,139.821618,千葉県
michi_0375,木更津うまくたの里,35.359948,140.052479,千葉県
michi_0376,みのりの郷東金,35.577214,140.383675,千葉県
michi_0377,季楽里あさひ,35.717856,140.675557,千葉県
michi_0378,しょうなん,35.857771,140.023254,千葉県
michi_0379,あずの里いちはら,35.463859,140.109646,千葉県
michi_0380,やちよ,35.758415,140.106749,千葉県
michi_0381,鴨川オーシャンパーク,35.063801,140.077089,千葉県
michi_0382,ふれあいパーク・きみつ,35.198557,140.069545,千葉県
michi_0383,とみうら,35.037677,139.837131,千葉県
michi_0384,三芳村,35.034101,139.894845,千葉県
michi_0385,ローズマリー公園,35.008739,139.975266,千葉県
michi_0386,ちくら・潮風王国,34.929901,139.952093,千葉県
michi_0387,富楽里とみやま,35.100508,139.855614,千葉県
michi_0388,おおつの里,35.057716,139.860365,千葉県
michi_0389,白浜野島崎,34.906249,139.877387,千葉県
michi_0390,和田浦 WA・O！,35.042582,140.020570,千葉県
michi_0391,くりもと,35.805852,140.469942,千葉県
michi_0392,水の郷さわら,35.896313,140.505908,千葉県
michi_0393,オライはすぬま,35.601796,140.501594,千葉県
michi_0394,発酵の里こうざき,35.900230,140.379700,千葉県
michi_0395,多古,35.731283,140.475285,千葉県
michi_0396,風和里しばやま,35.695064,140.410030,千葉県
michi_0397,つどいの郷むつざわ,35.352183,140.303680,千葉県
michi_0398,ながら,35.457308,140.206660,千葉県
